line(173522)	1000|7200000301|2020|219|50|S|H|||||      66230.00|      66230.00|          0.00|      66230.00|USD|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00||||000||          0.00|      0.00000|          0.00|          0.00|          0.00|00000000|20200630|"20000194 WA-023 416 6th Street South, Kirkland"||||0000610000|RFBU|||          0.00|0010006399||||000000|00000000|0000630000||||||          0.00|||0000910100||||300||   0|300|0000630000|20200630|Z2|0000610200|720000030110002020|BKPF|0000610200|S|20200630|USD|USD|10|USD|||||||20200702|030949|      66230.00|00000000||
line(173535)	1000|7200000301|2020|232|40|S|S|||||       1999.50|       1999.50|          0.00|       1999.50|USD|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00||||000||          0.00|      0.00000|          0.00|          0.00|          0.00|00000000|20200630|"20000161 TX-058 5601 Democracy Dr,Suite 275"||||0000610000|RFBU|||          0.00|001000M604||||000000|00000000|0000610200||||||          0.00|||0000128620||||300||   0|300|0000610200|20200630|Z2|0000630000|720000030110002020|BKPF|0000630000|S|20200630|USD|USD|10|USD|||||||20200702|030949|       1999.50|00000000||
line(173545)	1000|7200000301|2020|242|50|S|H|||||       1999.50|       1999.50|          0.00|       1999.50|USD|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00||||000||          0.00|      0.00000|          0.00|          0.00|          0.00|00000000|20200630|"20000161 TX-058 5601 Democracy Dr,Suite 275"||||0000610000|RFBU|||          0.00|001000M604||||000000|00000000|0000630000||||||          0.00|||0000128620||||300||   0|300|0000630000|20200630|Z2|0000610200|720000030110002020|BKPF|0000610200|S|20200630|USD|USD|10|USD|||||||20200702|030949|       1999.50|00000000||
line(173724)	1000|7200000317|2020|001|40|S|S|||||    7588056.06|    7588056.06|          0.00|    7588056.06|USD|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00||||000||          0.00|      0.00000|          0.00|          0.00|          0.00|00000000|20200630|"20000201 NY-035 Nov'19 219 36th Street,Brooklyn"||||0000158000|RFBU|||          0.00|||||000000|00000000|0000158008|||X|||          0.00|||0000116832||||||   0|||20200630|Z2|0000282005|720000031710002020|BKPF|0000282005|S|20200630|USD|USD|10|USD|||||||20200702|061559|    7588056.06|00000000||
line(173725)	1000|7200000317|2020|002|50|S|H|||||    8195949.06|    8195949.06|          0.00|    8195949.06|USD|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00||||000||          0.00|      0.00000|          0.00|          0.00|          0.00|00000000|20200630|"20000201 NY-035 Nov'19 219 36th Street,Brooklyn"||||0000282000|RFBU|||          0.00|||||000000|00000000|0000282005|||X|||          0.00|||0000116832||||||   0|||20200630|Z2|0000158008|720000031710002020|BKPF|0000158008|S|20200630|USD|USD|10|USD|||||||20200702|061559|    8195949.06|00000000||
line(173726)	1000|7200000317|2020|003|40|S|S|||||     607893.00|     607893.00|          0.00|     607893.00|USD|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00||||000||          0.00|      0.00000|          0.00|          0.00|          0.00|00000000|20200630|"20000201 NY-035 Nov'19 219 36th Street,Brooklyn"||||0000279000|RFBU|||          0.00|||||000000|00000000|0000279099|||X|||          0.00|||0000116832||||||   0|||20200630|Z2|0000282005|720000031710002020|BKPF|0000282005|S|20200630|USD|USD|10|USD|||||||20200702|061559|     607893.00|00000000||
line(173738)	1000|7200000317|2020|015|40|S|S|||||    4409573.95|    4409573.95|          0.00|    4409573.95|USD|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00||||000||          0.00|      0.00000|          0.00|          0.00|          0.00|00000000|20200630|"20000206 CA-062 Jan'20 4370 La Jolla Village Dr,"||||0000158000|RFBU|||          0.00|||||000000|00000000|0000158008|||X|||          0.00|||0000128620||||||   0|||20200630|Z2|0000282005|720000031710002020|BKPF|0000282005|S|20200630|USD|USD|10|USD|||||||20200702|061559|    4409573.95|00000000||
line(173739)	1000|7200000317|2020|016|50|S|H|||||    4343269.95|    4343269.95|          0.00|    4343269.95|USD|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00||||000||          0.00|      0.00000|          0.00|          0.00|          0.00|00000000|20200630|"20000206 CA-062 Jan'20 4370 La Jolla Village Dr,"||||0000282000|RFBU|||          0.00|||||000000|00000000|0000282005|||X|||          0.00|||0000128620||||||   0|||20200630|Z2|0000158008|720000031710002020|BKPF|0000158008|S|20200630|USD|USD|10|USD|||||||20200702|061559|    4343269.95|00000000||
line(173740)	1000|7200000317|2020|017|50|S|H|||||      66304.00|      66304.00|          0.00|      66304.00|USD|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00||||000||          0.00|      0.00000|          0.00|          0.00|          0.00|00000000|20200630|"20000206 CA-062 Jan'20 4370 La Jolla Village Dr,"||||0000149000|RFBU|||          0.00|||||000000|00000000|0000149001|||X|||          0.00|||0000128620||||||   0|||20200630|Z2|0000158008|720000031710002020|BKPF|0000158008|S|20200630|USD|USD|10|USD|||||||20200702|061559|      66304.00|00000000||
line(173750)	1000|7200000318|2020|001|40|S|S|||||      22985.63|      22985.63|          0.00|      22985.63|USD|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00||||000||          0.00|      0.00000|          0.00|          0.00|          0.00|00000000|20200630|"20000201 NY-035 Nov'19 219 36th Street,Brooklyn"||||0000610000|RFBU|||          0.00|001000N399||||000000|00000000|0000630004||||||          0.00|||0000116832||||300||   0|300|0000630004|20200630|Z2|0000282005|720000031810002020|BKPF|0000282005|S|20200630|USD|USD|10|USD|||||||20200702|061810|      22985.63|00000000||
